May 09 08:36:51 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184644Z  WARN kiseki_server::runtime: ClusterChunkService: NO SAN interceptor (plaintext development mode — cross-node fabric is not protected against tenant certs)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184667Z  INFO kiseki_server::runtime: [transport.native] available bindings (in priority order):
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184672Z  INFO kiseki_server::runtime:   1. tcp-framed       (latency_class=Low, addr=0.0.0.0:9103)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184675Z  INFO kiseki_server::runtime:   2. grpc-h2          (latency_class=Standard, addr=0.0.0.0:9100)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184678Z  INFO kiseki_server::runtime: [transport.native] override available via KISEKI_NATIVE_TRANSPORT={grpc|tcp|ibverbs|libfabric|auto}
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184694Z  INFO kiseki_server::runtime: TCP-framed native binding registered (ADR-042 §2.2) addr=0.0.0.0:9103 require_tls=false
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184699Z  INFO kiseki_server::runtime: gRPC native binding registered on shared data_addr (ADR-042 §2.1) require_tls=false
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.184808Z  WARN kiseki_gateway::native::tcp_framed::listener: TCP-framed native binding listening (plaintext — dev mode; connections see synthetic 'dev' SAN) addr=0.0.0.0:9103
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.197380Z  INFO openraft::engine::handler::vote_handler: vote is changing from <T0-N3:-> to <T3-N1:Q>
May 09 08:37:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:37:51.182057Z  INFO kiseki_server::runtime: scrub: periodic check completed
May 09 08:38:40 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:38:40.460850Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=2 last_applied=2
May 09 08:38:42 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:38:42.987849Z  INFO kiseki_composition::hydrator: composition hydrator: installed compositions from log applied=1 last_applied=3
